"1030","REG","Fondo di riserva per la reiscrizione residui perenti di parte corrente","2005-01-01","3999-12-31"
"1030","SP8","Fondo di riserva per la reiscrizione residui perenti di parte corrente","2014-01-01","3999-12-31"
"1101","CDC","Competenze fisse ed accessorie a favore del personale","2012-01-01","3999-12-31"
"1101","EGP","Compensi, indennita' e rimborsi agli organi di amministrazione dell'Ente","2012-01-01","3999-12-31"
"1101","MON","Competenze fisse per il personale a tempo indeterminato","2005-01-01","3999-12-31"
"1101","PRO","Competenze fisse per il personale a tempo indeterminato","2005-01-01","3999-12-31"
"1101","REG","SPESE PER ORGANI ISTITUZIONALI","2005-01-01","3999-12-31"
"1101","RIC","Compensi, indennità e rimborsi al Presidente e al Consiglio di amministrazione o Consiglio direttivo","2007-07-01","3999-12-31"
"1101","SAN","Competenze a favore del personale al netto degli arretrati","2007-07-01","2014-12-31"
"1101","SP1","Competenze fisse per il personale a tempo indeterminato","2012-03-01","3999-12-31"
"1101","SP2","Competenze a favore del personale al netto degli arretrati","2014-01-01","2014-12-31"
"1101","SP3","Competenze fisse per il personale a tempo indeterminato","2014-01-01","3999-12-31"
"1104","SAN","Arretrati di anni precedenti al personale a tempo indeterminato","2015-01-01","3999-12-31"
"1101","SP4","Compensi, indennità e rimborsi al Presidente e al Consiglio di amministrazione o Consiglio direttivo","2014-01-01","3999-12-31"
"1101","SP5","Competenze fisse ed accessorie a favore del personale","2014-01-01","3999-12-31"
"1101","SP6","Compensi, indennita' e rimborsi agli organi di amministrazione dell'Ente","2014-01-01","3999-12-31"
"1101","SP8","SPESE PER ORGANI ISTITUZIONALI","2014-01-01","3999-12-31"
"1102","CDC","Rimborsi spese per personale distaccato/comandato","2012-01-01","3999-12-31"
"1102","EGP","Compensi, indennita' e rimborsi ai componenti del collegio sindacale (o revisori)","2012-01-01","3999-12-31"
"1102","MON","Straordinario per il personale tempo indeterminato","2005-01-01","3999-12-31"
"1102","PRO","Straordinario per il personale tempo indeterminato","2005-01-01","3999-12-31"
"1102","RIC","Compensi, indennità e rimborsi ai componenti del Collegio sindacale (o revisori)","2007-07-01","3999-12-31"
"1102","SAN","Arretrati di anni precedenti","2007-07-01","2014-12-31"
"1102","SP1","Straordinario per il personale tempo indeterminato","2012-03-01","3999-12-31"
"1102","SP2","Arretrati di anni precedenti","2014-01-01","2014-12-31"
