"AG_REG_SAN","AGENZIE REGIONALI SANITARIE","SAN"
"ALTRI_ENTI_MON","ALTRI ENTI","MON"
"ALTRI_ENTI_PAR","ALTRI ENTI GESTORI DI PARCHI","EGP"
"ASL","ASL","SAN"
"ATENEO","UNIVERSITA","UNI"
"AZ_OSPEDALIERE","AZIENDE OSPEDALIERE","SAN"
"CAM_COMMERCIO","CAMERE DI COMMERCIO","CDC"
"CDC_GESTIONI","CAMERE DI COMMERCIO - GESTIONI","CDC"
"COM_ISOLANE","COMUNITA' ISOLANE","MON"
"COM_MONTANA","COMUNITA' MONTANE","MON"
"COMUNE","COMUNI","PRO"
"CONS_AUT_TER","AUTORITA' AMBITO TERRITORIALE OTTIMALE","MON"
"CONS_BAC_IMB","CONSORZI BACINO IMBRIFERO MONTANO (BIM)","MON"
"CONS_GES_PAR","CONSORZI DI ENTI LOCALI - GESTIONE PARCHI","MON"
"CONS_POL_MUN","CONSORZI DI ENTI LOCALI - POLIZIA MUNICIPALE","MON"
"CONS_SER_SAS","CONSORZI DI ENTI LOCALI - SERVIZI SOCIO ASSISTENZIALI","MON"
"CONS_UNI_EL","CONSORZI UNIVERSITARI TRA ENTI LOCALI","MON"
"CONS_VIG_BOS","CONSORZI DI ENTI LOCALI - VIGILANZA BOSCHIVA","MON"
"CONSORZI","ALTRI CONSORZI DI ENTI LOCALI","MON"
"DIPARTIMENTO","DIPARTIMENTI","UNI"
"ENTI_RICERCA","ENTI DI RICERCA - AMMINISTRAZIONE CENTRALE","RIC"
"GESTIONI","GESTIONE ASL","SAN"
"GESTIONI_AZ_OSP","GESTIONE AZIENDE OSPEDALIERE","SAN"
"GESTIONI_CO_COM","GESTIONE COMUNI COMMISSARIATI","PRO"
"GESTIONI_I_ZOOP","GESTIONE ISTITUTI ZOOPROFILATTICI SPERIMENTALI","SAN"
"GESTIONI_IRCCS","GESTIONE ISTITUTI DI RICOVERO E CURA A CARATTERE SCIENTIFICO","SAN"
"GESTIONI_POL_UN","GESTIONE POLICLINICI UNIVERSITARI","SAN"
"GESTIONI_PR_PRO","COMMISSARI STRAORDINARI PROVINCE","PRO"
"ISTITUTI","ENTI DI RICERCA - ISTITUTI","RIC"
"ISTITUTI_CURA","ISTITUTI DI RICOVERO E CURA A CARATTERE SCIENTIFICO","SAN"
"ISTITUTI_ZOOPRO","ISTITUTI ZOOPROFILATTICI SPERIMENTALI","SAN"
"PARCHI_NAZ","PARCHI NAZIONALI","EGP"
"POLICLINICI_UN","POLICLINICI UNIVERSITARI","SAN"
"PROVINCIA","PROVINCE","PRO"
"REG_GEST_SAN","REGIONI - GESTIONE SANITARIA","REG"
"REGIONE","REGIONI E PROVINCE AUTONOME","REG"
"SPERIMENTAZ_CDC","ENTI IN SPERIMENTAZIONE - CDC","SP5"
"SPERIMENTAZ_EGP","ENTI IN SPERIMENTAZIONE - EGP","SP6"
"SPERIMENTAZ_MON","ENTI IN SPERIMENTAZIONE - MON","SP3"
"SPERIMENTAZ_REG","ENTI IN SPERIMENTAZIONE - REG","SP8"
"SPERIMENTAZ_RIC","ENTI IN SPERIMENTAZIONE - RIC","SP4"
"SPERIMENTAZ_SAN","ENTI IN SPERIMENTAZIONE - SAN","SP2"
"SPERIMENTAZ_UNI","ENTI IN SPERIMENTAZIONE - UNI","SP7"
"SPERIMENTAZIONE","ENTI IN SPERIMENTAZIONE - PRO","SP1"
"UNIONE_COMUNI","UNIONI DI COMUNI","PRO"
